date,clicks,conversions,cost_micros,engagements,impressions,interactions,interaction_rate,average_cpm,ctr,average_cpc,conversions_value,value_per_conversion,engagement_rate,average_cost,cost_per_conversion,average_cpe
2021-04-26,1485,31.0,5974.548999999999,1124,22975,2526,0.18504320987654319,732811749.1234568,0.15185185185185185,3116322.25308642,0.0,0.0,0.04895679012345679,2581975.425925926,10155005.530864198,121418.14197530864
2021-04-27,1577,36.0,5865.643999999999,1424,26933,2869,0.17160736196319018,482077700.8834356,0.13871165644171782,2667214.5337423314,0.0,0.0,0.051496932515337414,1950490.1883435582,5947976.122699386,118137.71901840491
2021-04-28,1726,46.0,6591.58,772,38455,2405,0.15519620253164557,652756390.2151898,0.1351518987341771,3285638.4620253164,0.0,0.0,0.03913924050632911,2837859.6835443038,9564097.126582278,189840.05696202532
2021-04-29,1614,39.0,5702.325,1023,43404,2555,0.16674074074074077,647353796.0617284,0.14066666666666666,3092174.4938271604,0.0,0.0,0.049098765432098755,2488341.0,10549703.75308642,103854.36851851852
2021-04-30,1231,20.0,3900.6990000000014,849,32850,2017,0.17542105263157898,570910164.5657895,0.15296710526315785,2702851.486842105,0.0,0.0,0.04203947368421053,2189168.040789474,10222824.184210526,129107.71184210526
2021-05-01,1223,9.0,3241.141,1368,38815,2472,0.15897183098591547,1048870402.6901408,0.1307535211267605,2812299.9929577466,0.0,0.0,0.046971830985915494,2072698.7605633803,5487887.3239436615,118550.26760563381
2021-05-02,1086,9.0,2274.9060000000004,746,49344,1764,0.12639864864864866,320569615.4662162,0.10012837837837833,1746843.3445945946,0.0,0.0,0.054601351351351336,1313195.3966216214,4802804.0,89057.91351351351
2021-05-03,1844,49.0,6664.663999999995,1459,35897,3172,0.14918120805369126,495605717.0067114,0.1342617449664429,2047367.9899328859,0.0,0.0,0.0247248322147651,1667096.9412751677,4862423.181208054,59050.33859060402
2021-05-04,2625,51.0,10235.172999999995,983,66162,3520,0.12254177897574124,454630077.78975743,0.11125876010781667,2281864.061994609,0.0,0.0,0.01649865229110512,2117559.1913746633,5621681.380053909,44188.83423180593
2021-05-05,2246,38.0,9917.544999999998,648,21336,2834,0.1529093198992444,564738984.9672544,0.13987909319899244,2424192.007556675,0.0,0.0,0.01842569269521411,2244019.8337531486,7304683.299748111,59834.62216624685
2021-05-06,2269,48.0,10823.820999999998,587,20136,2813,0.13335978835978843,568979840.8465608,0.12243650793650795,2627208.092592593,0.0,0.0,0.016415343915343914,2443619.947619048,6072058.2433862435,29228.631746031748
2021-05-07,1947,45.0,10200.254000000003,1772,24938,3593,0.13275338753387536,662263082.6205962,0.12085094850948509,2910856.8184281844,0.0,0.0,0.017284552845528454,2626010.0894308942,8412639.479674798,47103.07046070461
2021-05-08,1406,29.0,6957.861999999995,809,14135,2163,0.14056880733944954,715004186.1039755,0.12143425076452598,2320821.03058104,0.0,0.0,0.02922935779816515,2203049.922324159,6155330.226299694,48814.51987767585
2021-05-09,1228,26.0,4288.357000000002,1328,24412,2432,0.12292999999999997,457739485.04,0.10814666666666663,1889289.9166666667,0.0,0.0,0.03283666666666667,1663693.6893333334,4825627.866666666,70376.21866666667
2021-05-10,1889,32.0,7664.016000000003,1457,29483,3197,0.13284142394822013,614238260.1488674,0.1247346278317153,2230841.297734628,0.0,0.0,0.02693527508090615,2127784.4223300973,7111637.618122977,38617.00323624595
2021-05-11,2687,52.0,11012.574999999997,2711,46768,5123,0.13546865671641792,502445946.5791045,0.12545970149253727,2089018.4656716418,0.0,0.0,0.020823880597014927,1899564.671641791,6568612.011940299,71850.14328358209
2021-05-12,2043,65.0,8978.177999999994,1269,21039,3174,0.1309181286549708,530277925.2923977,0.11774269005847951,2291033.730994152,0.0,0.0,0.019520467836257313,2011705.346491228,6434057.263157895,40342.8230994152
2021-05-13,1929,52.0,8582.832,487,17041,2373,0.12511699164345402,662076549.7381616,0.11297493036211699,2421918.398328691,0.0,0.0,0.022295264623955424,2128424.7103064065,6101969.805013928,37970.35988857938
2021-05-14,2170,50.0,11345.862000000003,7115,60917,8855,0.14678296146044637,404173796.7991886,0.10590872210953348,2373050.9188640974,0.0,0.0,0.049344827586206876,1686837.6616632862,5578865.54969574,80710.82880324546
2021-05-15,4225,34.0,36322.07999999999,16823,191105,20159,0.1222733188720173,636998986.7201735,0.08852494577006513,4987865.6876355745,0.0,0.0,0.05291106290672448,2201365.6913232105,19900348.980477225,273504.9885032538
2021-05-16,4259,26.0,22458.029000000002,3788,85973,7820,0.11503472222222227,458409029.5416667,0.09809722222222232,3382591.421296296,0.0,0.0,0.050958333333333314,2212714.2766203703,11491090.148148147,130779.30787037036
2021-05-17,29820,64.0,58487.60599999999,408,1855325,30211,0.13671365638766528,685350945.3303965,0.1366475770925111,2336704.5528634363,0.0,0.0,0.03484140969162996,2329779.605726872,44216719.40088106,19215.640969162996
2021-05-18,20198,84.0,52452.03099999996,71,997474,20268,0.12923059866962328,531512336.2217295,0.1291596452328162,2329947.2793791573,0.0,0.0,0.0191529933481153,2328083.401330377,30593986.385809314,6761.8926829268285
2021-05-19,23106,66.0,45532.979,640,1125394,23697,0.13643884892086336,566749095.7553957,0.13445323741007204,2256043.0575539568,0.0,0.0,0.024227817745803366,2174024.3333333335,18715387.94244604,40064.98800959233
2021-05-20,40910,71.0,79867.11300000003,282,2442927,41175,0.1449014084507043,609691327.8967136,0.144849765258216,2312971.23943662,0.0,0.0,0.02619718309859155,2311280.1807511738,38239804.42253521,50390.18215962442
2021-05-21,11141,64.0,42166.79999999999,402,466646,11500,0.13515402298850585,604792224.0275862,0.1347655172413794,2567489.2298850575,0.0,0.0,0.033613793103448274,2551992.372413793,8742199.944827586,54594.63333333333
